id,channelTitle,publishedAt,video_url,title,likeCount,dislikeCount,commentCount,viewCount
2FpA70s-Zys,Yihuang Kang,"(2018, 6, 13, 15, 47, 13)",https://www.youtube.com/watch?v=2FpA70s-Zys,Unit 3 - Fundamentals of Data Analytics - 3.2  Understand Data Analytics Process,4,0,0,576
nDTicjDDJec,Yihuang Kang,"(2018, 5, 8, 2, 3, 7)",https://www.youtube.com/watch?v=nDTicjDDJec,Unit 3 - Fundamentals of Data Analytics - 3.1  Statistical Learning and the Two Cultures of Modeling,4,0,0,511
XThINgIsLpU,Yihuang Kang,"(2018, 5, 15, 6, 31, 10)",https://www.youtube.com/watch?v=XThINgIsLpU,Unit 2 - Data Management and Analysis with R - 2.10  A bit about Model Thinking and R Formula,1,0,0,421
KIPoveeb5Pw,Yihuang Kang,"(2018, 5, 8, 13, 20, 29)",https://www.youtube.com/watch?v=KIPoveeb5Pw,Unit 2 - Data Management and Analysis with R - 2.9  Data Aggregation,3,0,5,509
-5A48wgfZWQ,Yihuang Kang,"(2018, 5, 8, 5, 10, 6)",https://www.youtube.com/watch?v=-5A48wgfZWQ,Unit 2 - Data Management and Analysis with R - 2.7 Data Manipulation,2,0,0,623
UK5_LjpaooA,Yihuang Kang,"(2018, 5, 8, 5, 8, 38)",https://www.youtube.com/watch?v=UK5_LjpaooA,Unit 2 - Data Management and Analysis with R - 2.8  Data Reshaping,1,0,0,439
aEoaQjcORI4,Yihuang Kang,"(2018, 5, 8, 5, 8, 24)",https://www.youtube.com/watch?v=aEoaQjcORI4,Unit 2 - Data Management and Analysis with R - 2.5  R Functions and Control Statements,1,0,0,606
XEYjEBR39Qk,Yihuang Kang,"(2018, 5, 8, 5, 7, 17)",https://www.youtube.com/watch?v=XEYjEBR39Qk,Unit 2 - Data Management and Analysis with R - 2.6  Data Input and Output,0,0,0,556
 zLrYfcEK-bU,Yihuang Kang,"(2018, 5, 8, 5, 4, 55)",https://www.youtube.com/watch?v=zLrYfcEK-bU,Unit 2 - Data Management and Analysis with R - 2.4  R Data Structures,3,0,0,656
kxKbumy0MsY,Yihuang Kang,"(2018, 5, 8, 4, 16, 53)",https://www.youtube.com/watch?v=kxKbumy0MsY,Unit 2 - Data Management and Analysis with R - 2.3  R Data Types and Measurement,1,0,0,609
w86MlukCHYY,Yihuang Kang,"(2018, 5, 8, 4, 14, 40)",https://www.youtube.com/watch?v=w86MlukCHYY,Unit 2 - Data Management and Analysis with R - 2.2 R Operators,5,0,5,901
DsXPVswINJQ,Yihuang Kang,"(2018, 5, 8, 2, 46, 43)",https://www.youtube.com/watch?v=DsXPVswINJQ,Unit 2 - Data Management and Analysis with R - 2.1 Introduction,8,0,0,1010
HwOaklJxahk,Yihuang Kang,"(2018, 5, 8, 2, 3, 7)",https://www.youtube.com/watch?v=HwOaklJxahk,Unit 1 - Introduction to R and RStudio,32,1,1,2119
