video_id,categoryId,likes,dislikes,comment_count,income,tag_count,desc_length,trending_days,duration,likes_ratio
--d-f3lIS6g,22,3278,101,428,80.417,74,223,1,1394,32.45544554455446
-4ni0pcKZ4w,10,276409,2851,19064,1241.50219,2,523,6,206,96.95159593125219
-5q5mZbe3V8,10,11946371,154679,4301497,104918.0303,6,1384,17,231,77.23330898182688
-607OwI4gPo,10,41631,529,2810,816.89689,37,1519,6,226,78.69754253308129
-6zExiuIotU,24,107030,1624,5688,1436.9025199999999,59,272,4,269,65.90517241379311
-8YXCsxF2tQ,17,53,2,8,9.35563,10,756,3,6121,26.5
-9cZ3pt3v28,25,17403,704,2676,278.86055,67,146,10,3081,24.720170454545453
-BZogVYVA_E,22,11094,588,3598,870.03937,9,396,16,5792,18.867346938775512
-Emh9hq-rXg,24,28772,673,1346,933.60774,42,1603,14,885,42.7518573551263
-IBznLlHDaw,17,546,9,160,44.097190000000005,10,779,7,762,60.666666666666664
-JQRvjFRKVU,24,3749,162,232,305.26718,9,122,7,1002,23.141975308641975
-KBFHzLttaA,22,9441,346,1010,428.27628,29,732,4,1918,27.286127167630056
-MIMCmDAsh4,22,351,19,38,24.575860000000002,10,483,3,789,18.473684210526315
-MwvwdM9pGQ,24,1047585,9140,87100,7950.54736,20,1493,8,724,114.61542669584244
-Qdg7yK4INc,26,811,215,280,52.89468000000001,7,126,5,646,3.772093023255814
-TDVKQjmf7c,24,55601,1753,6219,1834.51827,5,1982,5,1568,31.717626925270963
-U-sHTUJRdk,10,97998,4580,10646,1814.8830699999999,28,3087,9,356,21.39694323144105
-XK00N1LcPM,24,105,9,16,19.90896,23,2444,3,42897,11.666666666666666
-YOXkAaGVYo,25,4784,92,361,49.7665,0,429,2,3166,52.0
-p0fS1z34Gc,24,5254,54,503,111.36131999999999,6,786,10,126,97.29629629629629
-scCWlHWSVA,25,1797,751,926,97.74648,12,395,4,5886,2.392809587217044
-tDs4POpl6U,24,19810,1799,2163,2597.90806,28,0,5,649,11.011673151750973
-wkobzfbfwQ,22,33337,1588,1895,1087.4278199999999,0,423,14,662,20.993073047858942
0-XnOaU57Y0,24,565,34,255,59.771719999999995,6,166,1,2606,16.61764705882353
00k1XChVFpc,25,2444,61,408,49.16057,33,496,3,2986,40.0655737704918
02apqPx9OPo,22,275969,4714,10022,3023.76357,41,464,4,943,58.54242681374629
03YY-KVbBjM,25,2760,78,117,38.832029999999996,0,474,1,2921,35.38461538461539
06Ni0Mi9p7k,26,2786,23,309,80.05651,31,446,2,760,121.1304347826087
0BztEA3TffE,22,1649,236,211,136.85935,42,611,7,1749,6.987288135593221
0DcUO0xuH2g,24,96535,1802,2641,1908.16915,12,562,4,870,53.57103218645949
